total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
7835,Riverside ,-117.2217753,33.8974314,68.05,98.77,86.32,84.84,84.7,83.63
6115,Contra Costa,-122.0338936,37.9947441,68.04,44.77,76.38,60,21.51,11.87
2008,Los Angeles,-118.2824401,34.0808128,68.03,28.96,28.83,61.1,60.21,35.02
3158,Butte ,-121.5601305,39.477074,68.02,21.08,95.48,70.4,89.94,89.46
5042,Fresno ,-119.8712132,36.7590356,68,92.71,65.39,52.13,66.31,40.6
5942,Merced ,-120.4047796,37.2895999,67.99,42.2,99.59,49.58,61.08,NA
6104,Stanislaus ,-120.9854187,37.699987900000004,67.98,70.61,28.29,51.73,73.2,84.58
3399,Monterey ,-121.8005663,36.6645043,67.97,20.27,43.71,50.97,72.09,45.78
4133,San Diego,-117.0835759,32.7338692,67.95,38.18,60.94,71.75,50.85,NA
3544,San Diego,-116.9593301,32.796887,67.94,37.88,46.32,57.24,92.45,69.98
6430,Stanislaus ,-121.0032806,37.6798075,67.93,38.71,65.18,50.52,58.23,86.19
1226,Los Angeles,-118.0976911,33.9365565,67.91,62.39,60.78,73.42,24.72,44.35
2917,Los Angeles,-118.5263111,34.1628402,67.9,10.06,41.35,40.81,25.72,76.69
5446,Los Angeles,-118.25076,33.8656664,67.89,88.95,27.24,44.94,34.21,56.19
4435,Los Angeles,-118.2147845,33.9682908,67.88,28.77,94.35,96.86,63.91,44.35
5106,Los Angeles,-118.603662,34.1904438,67.86,78.21,15.83,19.75,55.39,83.63
1703,Sacramento ,-121.5044795,38.5770653,67.85,NA,80.96,4.67,49.55,18.31
4506,Los Angeles,-118.3538978,34.0892775,67.84,7.66,56.46,22.22,61.28,74.1
7497,Imperial ,-115.3745809,32.8156455,67.83,29.88,87.51,86.13,78.2,99.41
