year,depth_to_water,longitude,latitude
2022,99,-118.41741,34.0123
2022,98.1,-118.41741,34.0123
2022,97.23,-118.41741,34.0123
2023,95.67,-118.41741,34.0123
2023,90.51,-118.41741,34.0123
2023,88.82,-118.41741,34.0123
2023,84.78,-118.41741,34.0123
2023,83.22,-118.41741,34.0123
2023,82.11,-118.41741,34.0123
2023,80.26,-118.41741,34.0123
2022,101.89,-118.41752,34.01214
2022,102.13,-118.41752,34.01214
2022,102.36,-118.41752,34.01214
2022,102.68,-118.41752,34.01214
2022,103.05,-118.41752,34.01214
2022,102.9,-118.41752,34.01214
2022,103.35,-118.41752,34.01214
2022,103.39,-118.41752,34.01214
2022,100.34,-118.41752,34.01214
2022,99.7,-118.41752,34.01214
2022,98.21,-118.41752,34.01214
2022,95.8,-118.41752,34.01214
2023,93.91,-118.41752,34.01214
2023,88.68,-118.41752,34.01214
2023,87.26,-118.41752,34.01214
2023,83.48,-118.41752,34.01214
2023,82.03,-118.41752,34.01214
2023,70.26,-118.41752,34.01214
2023,95.1,-118.41754,34.01213
2023,89.91,-118.41754,34.01213
2023,88.19,-118.41754,34.01213
2023,84.3,-118.41754,34.01213
2023,82.72,-118.41754,34.01213
2023,79.65,-118.41754,34.01213
2022,101.68,-118.41757,34.01267
2022,101.98,-118.41757,34.01267
2022,101.23,-118.41757,34.01267
2022,102.63,-118.41757,34.01267
2022,102.96,-118.41757,34.01267
2022,102.88,-118.41757,34.01267
2022,103.29,-118.41757,34.01267
2022,103.31,-118.41757,34.01267
2022,100.19,-118.41757,34.01267
2022,99.54,-118.41757,34.01267
2022,98.05,-118.41757,34.01267
2022,95.6,-118.41757,34.01267
2023,93.59,-118.41757,34.01267
2023,88.25,-118.41757,34.01267
2023,86.58,-118.41757,34.01267
2023,82.84,-118.41757,34.01267
2023,81.46,-118.41757,34.01267
2023,78.45,-118.41757,34.01267
2023,83.26,-118.41759,34.01266
2023,82.37,-118.41759,34.01266
2023,81.79,-118.41759,34.01266
2023,79.06,-118.41759,34.01266
2022,101.9,-118.41762,34.01238
2022,102.14,-118.41762,34.01238
2022,102.43,-118.41762,34.01238
2022,102.93,-118.41762,34.01238
2022,103.09,-118.41762,34.01238
2022,103.04,-118.41762,34.01238
2022,103.52,-118.41762,34.01238
2022,103.61,-118.41762,34.01238
2022,100.43,-118.41762,34.01238
2022,99.65,-118.41762,34.01238
2022,99.88,-118.41762,34.01238
2022,95.86,-118.41762,34.01238
2023,98.69,-118.41762,34.01238
2023,88.54,-118.41762,34.01238
2023,86.83,-118.41762,34.01238
2023,83.09,-118.41762,34.01238
2023,81.79,-118.41762,34.01238
2023,80.81,-118.41762,34.01238
2023,78.88,-118.41762,34.01238
2022,98.68,-118.4176,34.0124
2022,98.67,-118.4176,34.0124
2022,98.63,-118.4176,34.0124
2022,98.91,-118.4176,34.0124
2022,99.04,-118.4176,34.0124
2022,99.14,-118.4176,34.0124
2022,98.18,-118.4176,34.0124
2022,99.31,-118.4176,34.0124
2022,98.9,-118.4176,34.0124
2022,98.48,-118.4176,34.0124
2022,97.6,-118.4176,34.0124
2022,96.78,-118.4176,34.0124
2023,95.22,-118.4176,34.0124
2023,89.98,-118.4176,34.0124
2023,88.13,-118.4176,34.0124
2023,84.08,-118.4176,34.0124
2023,82.65,-118.4176,34.0124
2023,79.65,-118.4176,34.0124
2022,101.08,-118.41718,34.01258
2022,101.36,-118.41718,34.01258
2022,101.59,-118.41718,34.01258
2022,101.95,-118.41718,34.01258
2022,102.31,-118.41718,34.01258
2022,102.25,-118.41718,34.01258
2022,102.64,-118.41718,34.01258
2022,100.03,-118.41718,34.01258
2022,99.13,-118.41718,34.01258
2022,97.75,-118.41718,34.01258
2022,95.41,-118.41718,34.01258
2023,93.43,-118.41718,34.01258
2023,88.13,-118.41718,34.01258
2023,86.54,-118.41718,34.01258
2023,82.83,-118.41718,34.01258
2023,81.49,-118.41718,34.01258
2023,78.42,-118.41718,34.01258
2023,83.03,-118.41716,34.01259
2023,82.16,-118.41716,34.01259
2023,81.68,-118.41716,34.01259
2023,79.08,-118.41716,34.01259
2022,100.24,-118.41708,34.01244
2022,100.41,-118.41708,34.01244
2022,100.71,-118.41708,34.01244
2022,101.1,-118.41708,34.01244
2022,101.48,-118.41708,34.01244
2022,101.38,-118.41708,34.01244
2022,101.75,-118.41708,34.01244
2022,101.76,-118.41708,34.01244
2022,98.98,-118.41708,34.01244
2022,98.28,-118.41708,34.01244
2022,96.88,-118.41708,34.01244
2022,94.6,-118.41708,34.01244
2023,92.68,-118.41708,34.01244
2023,87.55,-118.41708,34.01244
2023,85.98,-118.41708,34.01244
